月份,星期,明日工地,明日車次,明日遠距離,明日超遠,今日在職,今日臨時,明日天氣,OUTPUT
6,4,7,34,23,0,7,4,0,14
6,5,7,11,1,1,7,7,0,4
6,6,3,35,33,0,3,1,1,12
6,7,9,40,34,1,5,7,1,7
6,1,8,32,26,3,7,0,1,15
6,2,9,24,8,3,7,8,0,10
6,3,9,42,27,3,5,5,1,10
6,4,7,46,23,2,7,3,0,15
6,5,10,22,2,1,6,9,0,6
6,6,5,35,23,1,5,1,0,14
6,7,11,25,4,1,7,7,0,8
7,1,11,28,0,0,7,1,1,8
7,2,10,28,5,4,6,2,0,11
7,3,7,18,1,0,7,4,0,6
7,4,11,25,5,0,6,0,0,8
7,5,7,19,2,1,5,3,0,6
7,6,5,18,3,0,4,2,0,5
7,7,12,36,3,2,4,1,0,12
7,1,8,41,23,3,6,6,0,15
7,2,9,22,2,0,7,8,0,8
7,3,10,42,17,0,6,2,1,15
7,4,12,48,28,6,7,8,1,15
7,5,11,50,20,1,7,8,0,11
7,6,7,31,11,0,5,6,0,11
7,7,8,50,18,1,4,7,0,15
7,1,10,45,8,1,6,9,0,14
7,2,13,50,10,0,6,8,1,12
7,3,4,9,2,2,6,6,1,7
7,4,6,33,0,0,7,0,0,9
7,5,11,56,21,6,5,4,1,15
7,6,6,15,4,0,6,9,1,5
7,7,12,34,9,0,3,2,1,10
7,1,11,32,10,0,6,4,1,12
7,2,9,31,11,0,7,5,1,9
7,3,10,30,2,0,6,3,0,8
7,4,12,63,15,4,6,2,1,13
7,5,10,36,7,4,6,7,0,8
7,6,10,36,7,3,4,4,0,9
7,7,10,53,9,2,4,5,0,11
7,1,9,50,6,0,6,5,0,13
7,2,11,55,17,10,6,7,0,14
7,3,10,67,8,1,7,7,0,14
8,4,11,68,7,0,7,7,0,14
8,5,12,44,13,0,7,7,0,12
8,6,4,30,0,0,4,8,0,10
8,7,7,41,5,0,6,4,0,12
8,1,13,43,6,1,7,5,0,12
8,2,15,39,4,0,6,6,0,10
8,3,4,17,0,0,6,4,1,6
8,4,8,22,0,0,6,0,0,4
8,6,6,26,0,0,4,0,0,8
8,7,13,52,2,0,6,2,1,11
8,1,9,40,3,0,5,6,0,12
8,2,10,26,8,0,6,6,0,8
8,3,12,63,6,0,6,2,0,14
8,5,10,26,0,0,6,8,0,6
8,6,6,19,0,0,3,3,1,5
8,7,10,44,1,1,5,0,0,13
8,1,9,26,1,0,7,6,0,7
8,2,12,35,6,5,6,1,1,8
8,3,10,27,0,0,6,2,0,7
8,4,11,30,2,2,6,1,1,6
8,5,3,16,0,0,5,1,1,3
8,6,4,16,0,0,3,0,0,5
8,7,9,29,0,0,5,0,0,10
8,1,8,20,0,0,6,4,0,6
8,2,10,43,1,0,6,0,0,8
8,3,11,24,2,0,7,1,0,10
8,4,13,49,2,0,6,4,1,10
8,5,7,21,0,0,6,4,0,7
8,6,7,9,1,0,6,1,0,5
9,7,13,41,10,0,5,0,0,7
9,1,12,34,0,0,7,0,0,9
9,2,12,20,2,1,7,2,0,5
9,3,8,15,2,0,5,0,1,6
9,4,8,31,7,5,6,0,0,12
9,5,7,21,1,0,5,7,0,5
9,6,5,36,11,11,5,0,0,12
9,7,9,27,0,0,5,7,0,9
9,1,8,29,9,9,7,2,0,12
9,2,7,8,1,1,5,7,0,5
9,3,9,34,16,16,5,0,0,13
9,4,8,19,0,0,6,7,0,6
9,6,6,13,0,0,6,0,1,3
9,7,9,23,0,0,3,0,1,9
9,1,13,42,7,6,7,2,0,13
9,2,10,23,1,0,6,7,1,7
9,3,13,25,13,7,7,0,0,6
9,4,16,38,14,8,6,0,1,9
9,5,11,28,13,10,7,2,1,11
9,6,6,14,6,6,5,6,0,5
9,7,9,62,16,16,3,2,0,13
9,1,11,37,10,7,7,6,0,11
9,2,14,69,6,3,7,4,0,12
9,3,16,35,2,0,7,5,1,8
9,4,7,20,1,0,6,2,1,6
9,5,9,13,2,0,6,0,1,6
9,6,5,17,0,0,5,1,1,7
9,7,6,10,2,0,4,3,0,7
10,2,8,14,8,6,7,0,0,6
10,3,16,46,16,12,6,0,0,14
10,4,14,38,21,8,7,7,0,13
10,5,12,30,16,3,6,7,0,10
10,6,14,29,11,10,4,6,0,12
10,7,15,35,19,10,6,6,0,12
10,1,12,51,33,9,6,6,0,15
10,2,11,46,29,13,6,9,0,14
10,3,13,41,18,5,6,8,0,15
10,4,15,73,17,11,7,8,0,16
10,5,11,37,18,10,7,9,0,10
10,6,10,25,7,0,4,6,0,10
10,7,13,33,9,9,5,5,0,11
10,1,16,43,11,11,7,4,0,10
10,2,17,43,6,5,6,4,0,12
10,3,12,52,14,5,6,6,0,16
10,4,18,65,2,3,6,10,0,15
10,5,11,33,3,3,6,9,1,7
10,6,11,64,3,2,3,4,0,17
10,7,13,69,16,15,7,10,0,15
10,1,16,59,16,16,6,9,0,16
10,2,13,70,8,6,7,9,0,15
10,3,11,57,1,1,6,9,0,15
10,4,12,50,0,0,6,9,0,12
10,5,10,31,2,0,6,6,0,7
10,6,6,19,3,0,4,3,0,6
10,7,11,57,2,2,6,0,0,15
10,1,12,40,3,2,7,8,0,11
10,2,11,36,4,2,7,4,0,11
10,3,7,31,0,2,7,4,1,8
10,4,13,69,15,13,6,2,0,11
11,5,9,24,2,2,6,5,0,5
11,6,6,9,6,1,5,0,0,6
11,7,11,41,7,2,5,1,0,10
11,1,10,63,16,1,7,3,0,17
11,2,16,44,2,1,6,11,0,11
11,3,12,43,25,5,6,5,0,15
11,4,12,50,4,3,6,9,0,8
11,5,14,53,4,3,6,2,0,15
11,6,12,40,22,7,6,9,0,14
11,7,13,53,7,3,5,9,0,13
11,1,14,64,23,3,7,6,0,15
11,2,18,58,11,4,6,9,0,14
11,3,16,50,11,5,5,9,0,15
11,4,14,53,15,3,6,9,0,14
11,5,10,33,7,2,7,7,0,10
11,6,10,46,3,2,4,6,0,12
11,7,11,40,9,2,5,7,1,12
11,1,12,60,16,1,7,5,1,15
11,2,9,35,6,0,6,9,1,12
11,3,10,38,7,0,6,6,0,9
11,4,11,25,3,0,6,3,1,9
11,5,13,60,11,6,7,2,0,14
11,6,12,40,11,11,5,9,0,12
11,7,13,49,9,3,3,9,1,14
11,1,12,38,12,5,5,9,0,10
11,2,14,54,9,2,5,5,0,12
11,3,13,72,8,0,7,5,0,13
11,4,12,38,2,0,5,8,0,11
11,5,13,51,5,0,5,6,0,12
11,6,15,36,3,0,5,7,0,10
12,7,13,32,4,0,4,6,0,8
12,1,11,34,1,0,6,2,0,9
12,2,18,50,5,3,6,3,0,11
12,3,12,35,5,5,6,5,1,11
12,4,9,36,15,2,4,7,1,7
12,5,9,28,7,2,4,3,0,7
12,6,6,18,8,3,4,3,0,6
12,7,11,35,30,3,6,0,0,14
12,1,11,28,15,5,6,8,0,12
12,2,8,33,21,3,4,8,0,11
12,3,16,53,26,2,6,5,0,14
12,4,10,22,10,3,5,9,0,8
12,5,8,40,29,2,6,2,0,13
12,6,6,20,12,11,5,8,0,10
12,7,7,28,16,12,6,4,0,11
12,1,10,47,29,14,5,6,0,16
12,2,10,44,29,10,7,9,0,16
12,3,14,49,25,16,7,9,0,14
12,4,7,32,23,7,6,8,0,13
12,5,7,10,3,1,6,7,1,4
12,6,6,18,10,4,4,0,1,6
12,7,15,34,11,5,5,1,0,10
12,1,16,50,29,5,7,3,0,15
12,2,18,57,24,3,7,8,0,10
12,3,12,57,24,5,7,3,0,14
12,4,14,39,11,3,7,7,0,11
12,5,9,36,11,6,5,6,0,10
12,6,7,30,6,1,5,5,1,10
12,7,12,55,10,1,4,6,1,12
12,1,10,45,11,2,7,5,1,15
12,2,9,28,9,0,7,8,0,10
1,4,11,44,14,0,7,3,0,12
1,5,14,46,15,2,5,7,0,12
1,6,11,23,6,0,5,7,0,6
1,7,7,30,10,0,4,2,0,9
1,1,10,22,3,3,6,3,0,8
1,2,8,33,21,16,6,2,0,10
1,3,11,26,6,1,5,5,0,7
1,4,14,28,6,0,6,1,0,8
1,5,5,14,3,0,6,2,0,4
1,7,10,35,13,5,4,0,1,11
1,1,9,34,12,0,7,4,0,9
1,2,9,38,7,0,6,3,1,10
1,3,11,42,4,1,7,3,0,9
1,4,9,23,2,2,7,2,0,7
1,5,8,21,7,1,6,1,0,8
1,6,6,12,0,0,4,4,0,5
1,7,6,16,0,0,5,0,0,13
1,1,5,10,1,1,7,6,0,12
1,2,7,9,2,0,6,6,0,13
1,3,3,4,1,0,7,6,0,13
1,4,1,1,0,0,7,6,0,7
2,7,4,8,5,4,7,0,1,7
2,1,6,10,2,1,7,0,1,7
2,2,4,5,1,0,7,0,1,6
2,3,5,7,2,1,6,0,1,5
2,4,4,7,2,0,5,0,0,6
2,5,5,9,4,2,6,0,0,6
2,6,4,4,2,0,6,0,0,5
2,7,6,8,5,4,5,0,0,7
2,1,11,24,1,0,7,0,0,7
2,2,5,8,5,0,5,2,0,6
2,3,3,3,1,0,6,0,0,6
2,4,9,12,5,4,6,0,0,7
2,5,7,12,3,2,7,0,0,4
2,6,6,9,1,0,4,0,1,5
2,7,9,21,3,2,5,0,0,8
2,1,10,21,2,0,6,2,0,6
2,2,8,23,8,0,6,0,0,7
2,3,14,42,13,1,6,1,0,10
2,4,12,29,11,2,6,4,0,10
2,5,11,21,6,1,7,3,1,9
2,6,7,17,4,0,4,5,1,8
2,7,5,15,6,0,4,4,0,7
2,1,8,26,6,0,6,1,0,8
2,2,9,15,6,1,6,2,1,6
2,3,12,33,19,0,6,0,1,10
